Associated Business - Associated Business Insolvency,Associated Business - HM Court Data,Associated Business - Charges on other businesses,Business - Director resignations,Business - Accounts Overdue,Business - Incorporation Date,Business - Adverse SIC Code,Director - Director bankruptcy,Director - Director disqualifications,Director - Director country of residence,Director - Director nationality,Director - Director average age,Director - Director Personal Insolvency,Psc - UBO nationality,Psc - UBO is overseas company?,Psc - Recent ownership changes,Financials - Negative Audit report,Financials - Negative Balance Sheet,Financials - Estimated Losses,Financials - Substantial Debts
10420782,11146734,02168606,02451148,06452970,,,10066356,,03264965,07163013,,06344510,08182742,,,,05707911,07932944,06086025
09273553,,05661177,08651173,07461408,,,07703452,,03357623,04333775,,10066356,01923809,,,,05998399,11136130,05108442
10293635,,05455699,SC430051,05646220,,,09720289,,03382976,05137542,,07703452,05404276,,,,12759320,04656812,07213346
07112203,,10681180,10660202,05384236,,,SC245803,,04113338,08878092,,09720289,04767792,,,,11973876,04266636,05591607
04876847,,11447778,08955804,05955584,,,10161245,,03997470,00720550,,SC245803,09987937,,,,12552241,09104535,06783032
13221479,,06277216,10591408,13140714,,,09273553,,04138012,08385565,,10161245,03385057,,,,11437751,10301281,10555394
06126480,,07782570,08239487,04807554,,,11755216,,03737259,11166492,,09273553,02451148,,,,11413937,09085655,00447955
09863849,,07519421,12334528,11255506,,,07284874,,04020027,10545826,,11755216,02871135,,,,11330081,07461408,02644551
05451329,,10590691,14361244,06458234,,,07112203,,04555028,10622264,,07284874,07743047,,,,11402684,00720550,11489265
04022713,,06140955,05738289,03355591,,,06126480,,04260683,06458234,,07112203,08619517,,,,11368591,11166492,12249732
04528745,,00693552,10082526,08673761,,,04528745,,04354279,03355591,,06126480,10810248,,,,05903085,11255506,04597973
01945550,,06086025,07525610,06449098,,,06533522,,04719023,08673761,,04528745,09951969,,,,03526455,06613615,10146489
06533522,,SC331786,09706757,04929117,,,11523041,,04700550,06794032,,06533522,10614111,,,,08015005,11772932,05189055
07729602,,07213346,01348877,10617977,,,06913377,,04577817,05028538,,11523041,02668691,,,,01336855,04296589,10875799
08561630,,04143694,SC184859,SC274565,,,02981527,,04683984,09061270,,06913377,11204582,,,,05363700,SC471396,SC450928
03348743,,05591607,12171516,09532125,,,08561630,,05043715,09989134,,02981527,14361244,,,,04950090,04929117,09680506
08038880,,00447955,13140598,11780524,,,03348743,,05283023,04344068,,08561630,08522370,,,,12589346,09616437,08993965
07400497,,02644551,08614629,05123175,,,05707911,,05255620,08603189,,03348743,07428780,,,,03316595,12500840,07801686
11973876,,11489265,10641476,03066370,,,01977248,,05419332,11780524,,05707911,NI054920,,,,07064953,07858105,06341504
11432990,,12249732,08914384,04609012,,,07445563,,05521344,03751742,,01977248,01348877,,,,12168067,11762714,10345494
